ID,label,name,weight
哈赤大师,哈赤大师,福康安,0.33906063499999994
常伯志,常伯志,常赫志,0.8809688637000003
余鱼同,余鱼同,陈家洛,3.9062550310000006
常赫志,常赫志,常赫志,0.9179330415000005
倪不大,倪不大,倪不小,0.7613536400499998
德布,德布,胡斐,0.10666922595
文泰来,文泰来,陈家洛,4.8896915631
文醉翁,文醉翁,胡斐,0.711113219
桑飞虹,桑飞虹,胡斐,1.1441501841
汤沛,汤沛,胡斐,2.156790371599999
海兰弼,海兰弼,胡斐,1.2564871682
福康安,福康安,胡斐,5.133746411399999
程灵素,程灵素,胡斐,4.5916995889
胡斐,胡斐,胡斐,20.477926834679984
西灵道人,西灵道人,福康安,0.2540098214
赵半山,赵半山,陈家洛,5.087145236
郭玉堂,郭玉堂,胡斐,0.7374813045000003
陆菲青,陆菲青,陈家洛,4.3426786460999995
陈家洛,陈家洛,陈家洛,10.764817801100007
霍青桐,霍青桐,陈家洛,4.2026779874999995
马春花,马春花,胡斐,1.9460667270300003
倪不小,倪不小,倪不小,0.7613536400499998
何惕守,何惕守,袁承志,1.1892135412999998
冯不摧,冯不摧,冯不破,0.5578044114000001
冯难敌,冯难敌,袁承志,0.7041157214999999
刘培生,刘培生,袁承志,1.1056727585
大汉,大汉,韦小宝,8.14532064799
安大娘,安大娘,袁承志,1.3407928634300001
安小慧,安小慧,袁承志,0.8797237399300001
崔希敏,崔希敏,袁承志,1.3404678887300001
归二娘,归二娘,归辛树,1.9557678051999996
归辛树,归辛树,归辛树,1.9011614702
归钟,归钟,韦小宝,0.6586611376000002
李岩,李岩,袁承志,1.2775758153999999
梅剑和,梅剑和,袁承志,2.3233445391999994
洪胜海,洪胜海,袁承志,2.5458452992000007
石骏,石骏,袁承志,0.26942423820000005
红娘子,红娘子,袁承志,0.3898049074
袁承志,袁承志,袁承志,20.307580251499985
郑克爽,郑克爽,韦小宝,1.4378969432999995
黄真,黄真,袁承志,1.3178158376899998
冯不破,冯不破,冯不破,0.5081616234
玉真子,玉真子,袁承志,0.6122163435900001
程青竹,程青竹,袁承志,1.8386541018
阿九,阿九,袁承志,1.6172118407099998
少妇,少妇,韦小宝,1.9059010662800007
上官虹,上官虹,史仲俊,0.616754897
李三,李三,史仲俊,0.9492794705999998
汉子,汉子,韦小宝,18.773837100899993
陈达海,陈达海,苏普,1.3357414925000002
霍元龙,霍元龙,苏普,0.8346539307
史仲俊,史仲俊,史仲俊,0.7031960788999999
明珠,明珠,韦小宝,1.7790845028700002
李文秀,李文秀,苏普,2.3089504298000003
老头子,老头子,岳不群,2.2638187002299994
苏普,苏普,苏普,1.5701923713000001
丁同,丁同,苏普,0.11162325299999999
丧门鬼,丧门鬼,史季强,0.8387436469999999
俏鬼,俏鬼,杨过,0.437760381
史仲猛,史仲猛,史季强,1.4598089327
史季强,史季强,史季强,1.2718355034
吊死鬼,吊死鬼,史季强,0.9815950655300001
大头鬼,大头鬼,杨过,0.90112793869
讨债鬼,讨债鬼,史季强,0.22979797799999999
笑脸鬼,笑脸鬼,史季强,0.6686680168000001
催命鬼,催命鬼,史季强,0.711383097
史伯威,史伯威,杨过,0.3806549677
史叔刚,史叔刚,杨过,0.6662897504999998
郭襄,郭襄,杨过,5.040175123299999
杨过,杨过,杨过,13.803728072260006
樊一翁,樊一翁,杨过,0.70808857371
郭芙,郭芙,杨过,2.3543985386000004
韦小宝,韦小宝,韦小宝,51.039115881860006
刘一舟,刘一舟,韦小宝,0.5750367604000001
张九,张九,胡斐,0.2857738397
张无忌,张无忌,赵敏,25.65457461269999
灭绝师太,灭绝师太,赵敏,2.9985684483399986
纪晓芙,纪晓芙,赵敏,1.3318026217
苗人凤,苗人凤,胡斐,5.402591096200003
贝锦仪,贝锦仪,赵敏,0.2666566594
金花婆婆,金花婆婆,赵敏,1.4104736078
丁敏君,丁敏君,赵敏,0.59986389413
煞神鬼,煞神鬼,杨过,0.03249976313
金轮法王,金轮法王,杨过,1.6178283284
霍都,霍都,杨过,0.7892587306399999
谢逊,谢逊,赵敏,7.063556111869999
空智,空智,空闻,2.4842565748399994
司徒千钟,司徒千钟,夏胄,0.94623317445
周芷若,周芷若,赵敏,3.4653901336099997
周颠,周颠,赵敏,2.0891198368799997
宋青书,宋青书,赵敏,1.44687280003
宗维侠,宗维侠,赵敏,0.6391018744000001
张三丰,张三丰,赵敏,3.4763223287199985
掌棒龙头,掌棒龙头,执法长老,0.8984571860600001
杨逍,杨逍,赵敏,4.26977843781
欧阳牧之,欧阳牧之,空闻,0.12286454243
殷梨亭,殷梨亭,赵敏,3.051637991530001
范遥,范遥,赵敏,2.2747338941
说不得,说不得,赵敏,2.3058671073199997
赵敏,赵敏,赵敏,6.494140271580001
静迦,静迦,夏胄,0.28985047926000007
韦一笑,韦一笑,赵敏,2.4469047624300004
何太冲,何太冲,赵敏,2.311611959399999
夏胄,夏胄,夏胄,0.37179779756
静慧,静慧,赵敏,0.34225832340000006
静照,静照,赵敏,0.25218175626000006
静空,静空,赵敏,0.15217256963
高老者,高老者,赵敏,0.5737029996
传功长老,传功长老,执法长老,1.1374073127000002
史火龙,史火龙,赵敏,1.187392392
史红石,史红石,赵敏,0.1743539285
叶长青,叶长青,夏胄,0.03214957759999999
圆真,圆真,赵敏,1.16741704485
常敬之,常敬之,赵敏,0.2980855745
彭莹玉,彭莹玉,赵敏,1.2607869076499998
执法长老,执法长老,执法长老,1.4624460479899999
掌钵龙头,掌钵龙头,赵敏,0.6217271309500001
空见,空见,赵敏,1.13090353165
空闻,空闻,空闻,1.7678527134499995
桃干仙,桃干仙,岳不群,1.3585581171999999
乐厚,乐厚,岳不群,0.11212525929999999
令狐冲,令狐冲,岳不群,25.132246249629993
农夫,农夫,黄蓉,0.8870703073499999
冲虚,冲虚,岳不群,2.265004304099999
冲虚道长,冲虚道长,岳不群,0.6675120434
劳德诺,劳德诺,岳不群,2.4604071839999997
司马大,司马大,岳不群,0.2375312925
向问天,向问天,岳不群,2.3708203010999993
定逸,定逸,岳不群,2.450490905100001
岳不群,岳不群,岳不群,7.949451050900005
岳灵珊,岳灵珊,岳不群,3.605396998199999
平一指,平一指,岳不群,0.5697039464
教书先生,教书先生,狄云,0.19085350386
方证,方证,岳不群,2.349640034
施戴子,施戴子,岳不群,0.6701366450000001
易国梓,易国梓,岳不群,0.4536528202
林平之,林平之,岳不群,5.698024998300001
桃叶仙,桃叶仙,岳不群,0.4290955675000001
桃实仙,桃实仙,岳不群,1.0736244631000003
桃根仙,桃根仙,岳不群,1.5159084497000006
桃花仙,桃花仙,岳不群,1.3153970905000003
桑三娘,桑三娘,岳不群,0.22587071295
游迅,游迅,岳不群,1.3452740084000003
白熊,白熊,黑熊,0.3747699697300001
祖千秋,祖千秋,岳不群,1.2612161426
莫大,莫大,岳不群,2.7613907097699992
计无施,计无施,岳不群,0.7730335400999999
谭迪人,谭迪人,岳不群,0.07386002389999999
辛国梁,辛国梁,岳不群,0.7447783553
鲍大楚,鲍大楚,岳不群,0.7920620205999999
黄伯流,黄伯流,岳不群,0.44441348919999996
黑熊,黑熊,黑熊,0.37045636606000004
上官云,上官云,岳不群,0.8526462118000001
东方不败,东方不败,岳不群,1.5464671967999997
丹青生,丹青生,岳不群,1.1672717028999997
于嫂,于嫂,岳不群,0.4711136672
仇松年,仇松年,张夫人,0.9178535391999997
仪和,仪和,岳不群,1.3458591673
仪清,仪清,岳不群,1.0623659726999997
仪琳,仪琳,岳不群,3.1502878247000003
任我行,任我行,岳不群,2.5209967006600005
何足道,何足道,杨过,2.7356051458399997
余沧海,余沧海,岳不群,2.8527961882000006
哑婆婆,哑婆婆,岳不群,0.24225702729999998
定静师太,定静师太,岳不群,0.5466679439000002
左冷禅,左冷禅,岳不群,2.5758298477000006
张夫人,张夫人,张夫人,0.9429763302300002
方生,方生,岳不群,1.0586345826999997
林震南,林震南,岳不群,2.4329249155000006
梁发,梁发,岳不群,0.4754175231
狄修,狄修,岳不群,0.0873311689
田伯光,田伯光,岳不群,2.3452830885
秃笔翁,秃笔翁,岳不群,0.7189689967
聋哑婆婆,聋哑婆婆,张夫人,0.07008816645999999
觉月,觉月,岳不群,0.5300575684000001
郑萼,郑萼,岳不群,0.6277770594000001
陆大有,陆大有,岳不群,1.7534118731000001
黄国柏,黄国柏,岳不群,0.32817906469999997
黄钟公,黄钟公,岳不群,0.8510472560000002
黑白子,黑白子,岳不群,1.1701627499
蓝凤凰,蓝凤凰,岳不群,0.6754475938000001
风清扬,风清扬,岳不群,0.46594473226
不戒和尚,不戒和尚,岳不群,0.8160210260999998
卜沉,卜沉,岳不群,0.1591286752
钟镇,钟镇,岳不群,0.7530542290000002
铁匠,铁匠,杨过,1.0881933540900002
高克新,高克新,岳不群,0.4577009839
丁坚,丁坚,岳不群,0.3328103030999999
施令威,施令威,岳不群,0.24901730210000003
杜长老,杜长老,岳不群,0.27386908985
王诚,王诚,岳不群,0.14165220116
葛长老,葛长老,岳不群,0.4375135702
刘正风,刘正风,岳不群,3.6363277821600004
吴柏英,吴柏英,岳不群,0.30506969679999996
周孤桐,周孤桐,岳不群,0.30506969679999996
桃枝仙,桃枝仙,岳不群,1.3906850928999996
严三星,严三星,岳不群,0.527698079
玉灵道人,玉灵道人,岳不群,0.5699055331
西宝,西宝,张夫人,0.2751269786
何三七,何三七,岳不群,0.47249546239999995
吉人通,吉人通,岳不群,0.1292754851
天门道人,天门道人,岳不群,1.7574692096
方人智,方人智,岳不群,0.91208478326
木高峰,木高峰,岳不群,1.1314092779999998
闻先生,闻先生,岳不群,0.2702898649
余人彦,余人彦,岳不群,0.28522063899999994
侯人英,侯人英,洪人雄,0.37030778810000003
洪人雄,洪人雄,洪人雄,0.6523554843
王夫人,王夫人,王语嫣,1.9618225619000003
罗人杰,罗人杰,岳不群,0.5077819540000001
贾人达,贾人达,岳不群,0.32993543690000005
封不平,封不平,岳不群,0.7240440039999998
曲洋,曲洋,岳不群,0.5240037910999998
绿竹翁,绿竹翁,岳不群,0.7409931831
吴天德,吴天德,岳不群,0.023589912999999997
无色,无色,杨过,1.52182224003
渡劫,渡劫,赵敏,0.6115777894100003
王仲强,王仲强,岳不群,0.48505204269999996
王伯奋,王伯奋,岳不群,0.5171578141000001
王元霸,王元霸,岳不群,1.1730197501000001
王家驹,王家驹,岳不群,0.5884855475999998
易师爷,易师爷,岳不群,0.3085243415000001
王家骏,王家骏,岳不群,0.2573581588
陈歪嘴,陈歪嘴,岳不群,0.07654696686
史镖头,史镖头,岳不群,1.0754366274999998
季镖头,季镖头,岳不群,0.33760935989999996
崔镖头,崔镖头,岳不群,0.38900962440000003
徐天川,徐天川,韦小宝,2.6415798085999995
白寒枫,白寒枫,韦小宝,1.3607217724999998
祝镖头,祝镖头,殷素素,0.0994255865
苏冈,苏冈,韦小宝,0.6968679316000002
郑镖头,郑镖头,岳不群,0.7222792243999999
陈七,陈七,岳不群,0.4483071223000001
丁勉,丁勉,岳不群,1.4989740467
史登达,史登达,岳不群,0.9760996478600001
车夫,车夫,韦小宝,1.2619935779100002
林远图,林远图,岳不群,0.2633545618
白二,白二,岳不群,0.6885075657999999
费彬,费彬,岳不群,0.9955222735
长青子,长青子,岳不群,0.32035724639999996
建除,建除,岳不群,0.3386528321
成不忧,成不忧,岳不群,0.2065257809
玉磬子,玉磬子,玉音子,0.37427795
玉音子,玉音子,玉音子,0.4022169045
麻衣汉子,麻衣汉子,岳不群,0.06986128459999999
宁中则,宁中则,岳不群,0.27542627594999997
舒奇,舒奇,岳不群,0.27206324785
沙天江,沙天江,岳不群,0.260677867
邓八公,邓八公,岳不群,0.305104756
上官,上官,岳不群,1.3127697161899998
丛不弃,丛不弃,岳不群,0.07116344909999998
乔峰,乔峰,阿朱,9.045975655150002
于人豪,于人豪,岳不群,0.6938881787
任盈盈,任盈盈,岳不群,0.021426550450000005
农妇,农妇,袁承志,0.11641896854999999
向大年,向大年,岳不群,0.43065089020000014
哑巴,哑巴,袁承志,2.9627574497400007
天乙道人,天乙道人,岳不群,0.0050981935
天松道人,天松道人,岳不群,0.11124826104999999
平夫人,平夫人,岳不群,0.030921232899999998
成高道人,成高道人,岳不群,0.00258172846
明月,明月,赵敏,0.85627596178
易堂主,易堂主,岳不群,0.20531775096
曲非烟,曲非烟,岳不群,0.2945182498
杨莲亭,杨莲亭,岳不群,0.4774689953599999
樵子,樵子,黄蓉,0.48254485858000007
澄观,澄观,韦小宝,0.7318119018899999
玉玑子,玉玑子,岳不群,0.7287609990000002
玉钟子,玉钟子,岳不群,0.00345902316
申人俊,申人俊,岳不群,0.238909867
童子,童子,袁承志,1.82423579733
童百熊,童百熊,岳不群,0.2525358999
竹剑,竹剑,王语嫣,0.5508947000600001
米为义,米为义,岳不群,0.2579862258999999
老不死,老不死,岳不群,0.3912673608000001
胖子,胖子,石破天,2.389541029
英白罗,英白罗,岳不群,0.27686328955
解风,解风,岳不群,0.12640893235
贾布,贾布,岳不群,0.1720549063
郭靖,郭靖,黄蓉,15.464876711299992
陶钧,陶钧,岳不群,0.24777369849999997
震山子,震山子,岳不群,0.12833342055
高明根,高明根,岳不群,0.12426631916
鲁连荣,鲁连荣,岳不群,0.05224514975
齐堂主,齐堂主,岳不群,0.20531775096
陆伯,陆伯,岳不群,0.014084507
脚夫,脚夫,韦小宝,0.9960611684000001
周伯通,周伯通,黄蓉,2.2364795125000008
天虚,天虚,闵柔,0.417720505
照虚,照虚,闵柔,0.09363141740000001
白万剑,白万剑,石破天,2.8523742546999995
石清,石清,闵柔,5.0003936475
石破天,石破天,石破天,8.3286457687
闵柔,闵柔,闵柔,2.4190186585
万大平,万大平,岳不群,0.3830061537
刘芹,刘芹,岳不群,0.0544163392
刘菁,刘菁,岳不群,0.24635182320000001
守备,守备,韦小宝,0.35168222343
王二叔,王二叔,岳不群,0.0079537245
狄镖头,狄镖头,岳不群,0.0146164299
俞岱岩,俞岱岩,赵敏,3.8510301904699995
张翠山,张翠山,殷素素,6.478298659660001
都大锦,都大锦,殷素素,0.6709171680000002
朱元璋,朱元璋,赵敏,1.2376620878000002
假东方不败,假东方不败,韦小宝,0.0024554592999999998
慕容博,慕容博,萧远山,0.7238707115999999
鸠摩智,鸠摩智,王语嫣,2.1160697439999994
梅念笙,梅念笙,狄云,0.111568675
丁不三,丁不三,石破天,1.7573991213999998
万圭,万圭,狄云,1.7142494544000002
卢一峰,卢一峰,韦小宝,0.2980955712
卫春华,卫春华,陈家洛,2.4327853442000005
双儿,双儿,韦小宝,3.371907916400001
史小翠,史小翠,石破天,0.2196743065
吴三桂,吴三桂,韦小宝,9.336053719300002
宋远桥,宋远桥,赵敏,2.1329207547300006
张妈,张妈,韦小宝,0.10260434663000001
徐天宏,徐天宏,陈家洛,5.159613362600001
心砚,心砚,陈家洛,2.3386651728000003
成璜,成璜,陈家洛,0.9298017449
方有德,方有德,陈家洛,0.17723731109999996
李沅芷,李沅芷,陈家洛,3.0233336715
殷天正,殷天正,赵敏,1.9674818810599999
汤和,汤和,赵敏,0.72165707124
瑞大林,瑞大林,陈家洛,1.1069816736000002
白寒松,白寒松,韦小宝,0.3300275352
白自在,白自在,石破天,1.9999656404000001
章进,章进,陈家洛,2.2610821936999996
耿万钟,耿万钟,闵柔,1.1588717384
谭公,谭公,赵钱孙,0.81958306773
阿二,阿二,赵敏,0.34456683128
骆冰,骆冰,陈家洛,4.199629677399999
王剑杰,王剑杰,胡斐,0.9754013794999998
一灯大师,一灯大师,黄蓉,1.29249950276
丘处机,丘处机,黄蓉,3.8471763324999992
乾隆皇帝,乾隆皇帝,陈家洛,0.4717415520299999
何红药,何红药,袁承志,1.2660651207000002
何铁手,何铁手,袁承志,1.9674448954799997
关明梅,关明梅,陈正德,0.9535640070000001
吕七,吕七,袁承志,0.6441104529000001
吕文德,吕文德,黄蓉,0.0814886928
周仲英,周仲英,陈家洛,2.866445055599999
周绮,周绮,陈家洛,3.3937439233
周阿三,周阿三,陈家洛,0.0374814531
哈合台,哈合台,顾金标,0.9854648457999999
商老太,商老太,胡斐,1.4109997475000005
孟健雄,孟健雄,陈家洛,1.6057169931000004
小龙女,小龙女,杨过,3.81837598628
尹克西,尹克西,潇湘子,1.2033987204199998
张十五,张十五,郭啸天,0.11041929159
张召重,张召重,陈家洛,3.642171766799999
张春九,张春九,袁承志,0.3448919248
成自学,成自学,齐自勉,0.8796472301
方怡,方怡,韦小宝,1.9688563266000005
无尘道长,无尘道长,陈家洛,0.30772658880000003
曲三,曲三,郭啸天,0.18914023988999998
曹化淳,曹化淳,袁承志,0.9278851889
朱聪,朱聪,黄蓉,2.08614544065
杨铁心,杨铁心,郭啸天,2.0372180054999998
柯镇恶,柯镇恶,黄蓉,2.1105801386
梁长老,梁长老,黄蓉,0.83007689803
梅超风,梅超风,黄蓉,1.43490293953
汪铁鹗,汪铁鹗,胡斐,0.9860338435999998
沐剑屏,沐剑屏,韦小宝,1.4728612227
洪七公,洪七公,黄蓉,2.2350659827099997
温方山,温方山,袁承志,1.1709785844
温方施,温方施,袁承志,0.5364800703
温方达,温方达,袁承志,1.3528692755
潇湘子,潇湘子,潇湘子,1.4203171967099995
焦宛儿,焦宛儿,袁承志,2.0598579298
焦文期,焦文期,陈家洛,0.98989104723
玉如意,玉如意,陈家洛,0.9576567818999999
王剑英,王剑英,胡斐,1.7929825893999998
王维扬,王维扬,陈家洛,1.2576092748000003
石中玉,石中玉,石破天,0.8737307526000002
石双英,石双英,陈家洛,1.0316604261
老王,老王,陈家洛,0.36063986048
耶律齐,耶律齐,杨过,1.7557651035999995
苏菲亚,苏菲亚,韦小宝,1.9662695478999999
袁士霄,袁士霄,陈家洛,0.5312224129
裘千仞,裘千仞,黄蓉,1.0772084638
谭婆,谭婆,赵钱孙,0.8057754989
赵良栋,赵良栋,韦小宝,0.5267027938000001
郭啸天,郭啸天,郭啸天,0.9389871612300003
阿凡提,阿凡提,陈家洛,0.5400073785000001
陆乘风,陆乘风,黄蓉,0.31330176094
陆冠英,陆冠英,黄蓉,0.90792078439
陆无双,陆无双,杨过,1.4937288314899997
陈正德,陈正德,陈正德,1.2786552461
陈近南,陈近南,韦小宝,3.4884678176999997
陈高波,陈高波,胡斐,0.32398490900000004
韩宝驹,韩宝驹,黄蓉,1.1857188221300003
韩文冲,韩文冲,陈家洛,0.9592075764
顾金标,顾金标,顾金标,1.1727755182000001
马光佐,马光佐,杨过,0.41761091620000007
马博仁,马博仁,马博仁,0.6463091685
马善均,马善均,陈家洛,0.5229718120000001
马行空,马行空,胡斐,1.0810349294
鳌拜,鳌拜,韦小宝,2.251365548300001
黄药师,黄药师,黄蓉,2.3424267362000006
黄蓉,黄蓉,黄蓉,12.349492591400004
黎刚,黎刚,袁承志,0.5541645829
齐伯涛,齐伯涛,胡斐,0.32398490900000004
室里,室里,阿紫,0.20415095780000003
清风,清风,王语嫣,0.72013199476
小沙弥,小沙弥,黄蓉,0.25175946327
王进宝,王进宝,韦小宝,0.5401165274999999
万庆澜,万庆澜,陈家洛,0.2960409195
上官毅山,上官毅山,陈家洛,0.1022496757
上官铁生,上官铁生,胡斐,0.26305277619999995
冯锡范,冯锡范,韦小宝,0.8270689352999999
吴之荣,吴之荣,韦小宝,2.3473195036000005
吴应熊,吴应熊,韦小宝,1.5103624255
哑梢公,哑梢公,黄蓉,0.16990358535999997
